side,page,route,api,archetype,phase
Admin,Alarm Center,/admin/alarms,POST /api/v1/admin/alarms/{id}/ack,LIST_TABLE,"P12 — Observability, Security Hardening, Backup & High Availability"
Admin,Customer Directory,/admin/customers,GET /api/v1/admin/customers,LIST_TABLE,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations"
Admin,Customer Directory,/admin/customers,POST /api/v1/admin/customers,LIST_TABLE,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations"
Admin,Create Customer Wizard,/admin/customers/new,POST /api/v1/admin/customers,WIZARD,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations"
Admin,Customer Overview,/admin/customers/{customerId},GET /api/v1/admin/customers/{id},DETAIL,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations"
Admin,Customer Account Settings,/admin/customers/{customerId}/account,GET /api/v1/admin/customers/{id}/account,SETTINGS,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations"
Admin,Customer Account Settings,/admin/customers/{customerId}/account,PATCH /api/v1/admin/customers/{id}/account,SETTINGS,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations"
Admin,Customer Balance & Adjustments,/admin/customers/{customerId}/balance,GET /api/v1/admin/customers/{id}/balance,DETAIL,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations"
Admin,Customer Balance & Adjustments,/admin/customers/{customerId}/balance,POST /api/v1/admin/customers/{id}/adjustments,DETAIL,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations"
Admin,Customer Packages,/admin/customers/{customerId}/packages,GET /api/v1/admin/customers/{id}/packages,DETAIL,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Customer Packages,/admin/customers/{customerId}/packages,POST /api/v1/admin/customers/{id}/packages,DETAIL,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Customer Authorizations,/admin/customers/{customerId}/authorizations,GET /api/v1/admin/customers/{id}/authorizations,SETTINGS,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations"
Admin,Customer Authorizations,/admin/customers/{customerId}/authorizations,PUT /api/v1/admin/customers/{id}/authorizations,SETTINGS,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations"
Admin,Agent & Subaccount Tree,/admin/customers/{customerId}/subaccounts,GET /api/v1/admin/customers/{id}/subaccounts,DETAIL,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations"
Admin,Customer Number Section Limits,/admin/customers/{customerId}/number-limits,GET /api/v1/admin/customers/{id}/number-limits,SETTINGS,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations"
Admin,Customer Number Section Limits,/admin/customers/{customerId}/number-limits,PUT /api/v1/admin/customers/{id}/number-limits,SETTINGS,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations"
Admin,Mapping Gateways,/admin/gateways/mapping,GET /api/v1/admin/gateways/mapping,LIST_TABLE,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Mapping Gateways,/admin/gateways/mapping,POST /api/v1/admin/gateways/mapping,LIST_TABLE,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Mapping Gateway Detail,/admin/gateways/mapping/{gatewayId},GET /api/v1/admin/gateways/mapping/{id},DETAIL,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Mapping Gateway Detail,/admin/gateways/mapping/{gatewayId},PATCH /api/v1/admin/gateways/mapping/{id},DETAIL,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Routing Gateways,/admin/gateways/routing,GET /api/v1/admin/gateways/routing,LIST_TABLE,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Routing Gateways,/admin/gateways/routing,POST /api/v1/admin/gateways/routing,LIST_TABLE,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Routing Gateway Detail,/admin/gateways/routing/{gatewayId},GET /api/v1/admin/gateways/routing/{id},DETAIL,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Routing Gateway Detail,/admin/gateways/routing/{gatewayId},PATCH /api/v1/admin/gateways/routing/{id},DETAIL,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Online Gateways,/admin/gateways/online,GET /api/v1/admin/gateways/online,LIVE_MONITOR,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Gateway Network Quality,/admin/gateways/network,GET /api/v1/admin/gateways/network,DETAIL,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Gateway Status Analytics,/admin/gateways/status,GET /api/v1/admin/gateways/status,ANALYTICS_REPORT,"P09 — Realtime Calls, Gateway Presence & NOC Streaming"
Admin,Gateway Groups,/admin/gateway-groups,GET /api/v1/admin/gateway-groups,LIST_TABLE,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Gateway Groups,/admin/gateway-groups,POST /api/v1/admin/gateway-groups,LIST_TABLE,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Registration Management,/admin/registrations,GET /api/v1/admin/registrations,LIST_TABLE,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Registration Management,/admin/registrations,POST /api/v1/admin/registrations,LIST_TABLE,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Routing Analysis,/admin/tools/routing-analysis,POST /api/v1/admin/tools/routing-analysis,EDITOR_FORM,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Network Test,/admin/tools/network-test,POST /api/v1/admin/tools/network-test,EDITOR_FORM,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Domain Management,/admin/routing/domains,GET /api/v1/admin/domains,LIST_TABLE,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Prohibited Media IP,/admin/routing/prohibited-media-ips,GET /api/v1/admin/prohibited-media-ips,DETAIL,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Softswitches,/admin/softswitches,GET /api/v1/admin/softswitches,DETAIL,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Phone Directory,/admin/phones,GET /api/v1/admin/phones,LIST_TABLE,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Phone Directory,/admin/phones,POST /api/v1/admin/phones,LIST_TABLE,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Phone Detail,/admin/phones/{phoneId},GET /api/v1/admin/phones/{id},DETAIL,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Phone Detail,/admin/phones/{phoneId},PATCH /api/v1/admin/phones/{id},DETAIL,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Online Phones,/admin/phones/online,GET /api/v1/admin/phones/online,LIVE_MONITOR,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Live Calls,/admin/calls/live,GET /api/v1/admin/calls/live,LIVE_MONITOR,"P09 — Realtime Calls, Gateway Presence & NOC Streaming"
Admin,Live Calls,/admin/calls/live,GET /api/v1/admin/calls/live/stream,LIVE_MONITOR,"P09 — Realtime Calls, Gateway Presence & NOC Streaming"
Admin,Live Call Detail,/admin/calls/live/{callId},GET /api/v1/admin/calls/live/{id},DETAIL,"P09 — Realtime Calls, Gateway Presence & NOC Streaming"
Admin,Live Call Detail,/admin/calls/live/{callId},POST /api/v1/admin/calls/live/{id}/disconnect,DETAIL,"P09 — Realtime Calls, Gateway Presence & NOC Streaming"
Admin,Call Analysis,/admin/diagnostics/call-analysis,GET /api/v1/admin/diagnostics/call-analysis/{serial},DETAIL,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations"
Admin,Registration Analysis,/admin/diagnostics/registration-analysis,GET /api/v1/admin/diagnostics/registration-analysis,DETAIL,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations"
Admin,Recent CDR,/admin/cdr/recent,GET /api/v1/admin/cdr/recent,LIST_TABLE,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations"
Admin,CDR Explorer,/admin/cdr,GET /api/v1/admin/cdr,LIST_TABLE,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations"
Admin,CDR Explorer,/admin/cdr,POST /api/v1/admin/cdr/exports,LIST_TABLE,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations"
Admin,CDR Detail,/admin/cdr/{cdrId},GET /api/v1/admin/cdr/{id},DETAIL,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations"
Admin,Failure Analytics,/admin/analytics/failures,GET /api/v1/admin/analytics/failures,ANALYTICS_REPORT,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations"
Admin,Connect Analysis,/admin/analytics/connect,GET /api/v1/admin/analytics/connect,DETAIL,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations"
Admin,Interrupt Analysis,/admin/analytics/interrupt,GET /api/v1/admin/analytics/interrupt,DETAIL,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations"
Admin,Call Distribution,/admin/analytics/distribution,GET /api/v1/admin/analytics/distribution,ANALYTICS_REPORT,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations"
Admin,Historical Performance,/admin/analytics/historical-performance,GET /api/v1/admin/analytics/historical-performance,ANALYTICS_REPORT,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations"
Admin,Gateway Performance,/admin/analytics/gateway-performance,GET /api/v1/admin/analytics/gateway-performance,ANALYTICS_REPORT,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations"
Admin,Rate Groups,/admin/rates/groups,GET /api/v1/admin/rates/groups,LIST_TABLE,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Rate Groups,/admin/rates/groups,POST /api/v1/admin/rates/groups,LIST_TABLE,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Rate Editor,/admin/rates/groups/{groupId},GET /api/v1/admin/rates/groups/{id}/rates,DETAIL,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Rate Editor,/admin/rates/groups/{groupId},PUT /api/v1/admin/rates/groups/{id}/rates,DETAIL,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Rate Import Jobs,/admin/rates/imports,POST /api/v1/admin/rates/imports,EDITOR_FORM,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Rate Lookup,/admin/rates/lookup,GET /api/v1/admin/rates/lookup,DETAIL,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Package Groups,/admin/packages,GET /api/v1/admin/packages,LIST_TABLE,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Package Groups,/admin/packages,POST /api/v1/admin/packages,LIST_TABLE,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Package Period Rates,/admin/packages/{packageId}/period-rates,GET /api/v1/admin/packages/{id}/period-rates,EDITOR_FORM,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Package Free Duration,/admin/packages/{packageId}/free-duration,GET /api/v1/admin/packages/{id}/free-duration,EDITOR_FORM,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Margin Monitor,/admin/commercial/margins,GET /api/v1/admin/commercial/margins,ANALYTICS_REPORT,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations"
Admin,Payment Ledger,/admin/payments,GET /api/v1/admin/payments,LIST_TABLE,"P08 — Billing, Add-Funds, Immutable Ledger & VOS Reconciliation"
Admin,Manual Payment / Credit,/admin/payments/new,POST /api/v1/admin/payments,FINANCE_ACTION,"P08 — Billing, Add-Funds, Immutable Ledger & VOS Reconciliation"
Admin,Revenue Details,/admin/billing/revenue,GET /api/v1/admin/billing/revenue,DETAIL,"P08 — Billing, Add-Funds, Immutable Ledger & VOS Reconciliation"
Admin,Gateway Bills,/admin/billing/gateway,GET /api/v1/admin/billing/gateway,ANALYTICS_REPORT,"P08 — Billing, Add-Funds, Immutable Ledger & VOS Reconciliation"
Admin,Phone Bills,/admin/billing/phone,GET /api/v1/admin/billing/phone,ANALYTICS_REPORT,"P08 — Billing, Add-Funds, Immutable Ledger & VOS Reconciliation"
Admin,Account Balance Report,/admin/billing/account-balance,GET /api/v1/admin/billing/account-balance,ANALYTICS_REPORT,"P08 — Billing, Add-Funds, Immutable Ledger & VOS Reconciliation"
Admin,Clearing & Settlement,/admin/settlement,GET /api/v1/admin/settlement,ANALYTICS_REPORT,"P08 — Billing, Add-Funds, Immutable Ledger & VOS Reconciliation"
Admin,Report Center,/admin/reports,GET /api/v1/admin/reports,LIST_TABLE,"P11 — Customer API, Webhooks, Reports & Large Exports"
Admin,Gateway Analysis Reports,/admin/reports/gateways,GET /api/v1/admin/reports/gateways,LIST_TABLE,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Agent Income Report,/admin/reports/agent-income,GET /api/v1/admin/reports/agent-income,ANALYTICS_REPORT,"P11 — Customer API, Webhooks, Reports & Large Exports"
Admin,Scheduled Reports,/admin/reports/schedules,GET /api/v1/admin/report-schedules,LIST_TABLE,"P11 — Customer API, Webhooks, Reports & Large Exports"
Admin,Scheduled Reports,/admin/reports/schedules,POST /api/v1/admin/report-schedules,LIST_TABLE,"P11 — Customer API, Webhooks, Reports & Large Exports"
Admin,Number Sections,/admin/numbers/sections,GET /api/v1/admin/numbers/sections,DETAIL,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Area Information,/admin/numbers/areas,GET /api/v1/admin/numbers/areas,DETAIL,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Number Transform,/admin/numbers/transforms,GET /api/v1/admin/numbers/transforms,DETAIL,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Black / White List Groups,/admin/numbers/lists,GET /api/v1/admin/numbers/lists,LIST_TABLE,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,System White List,/admin/numbers/system-whitelist,GET /api/v1/admin/numbers/system-whitelist,LIST_TABLE,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Dynamic Black List,/admin/numbers/dynamic-blacklist,GET /api/v1/admin/numbers/dynamic-blacklist,LIST_TABLE,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Admin,Admin Users,/admin/security/users,GET /api/v1/admin/security/users,LIST_TABLE,"P02 — Identity, RBAC, Tenant Isolation & Audit Foundation"
Admin,Admin Users,/admin/security/users,POST /api/v1/admin/security/users,LIST_TABLE,"P02 — Identity, RBAC, Tenant Isolation & Audit Foundation"
Admin,Roles & Permissions,/admin/security/roles,GET /api/v1/admin/security/roles,SETTINGS,"P02 — Identity, RBAC, Tenant Isolation & Audit Foundation"
Admin,Roles & Permissions,/admin/security/roles,PUT /api/v1/admin/security/roles/{id},SETTINGS,"P02 — Identity, RBAC, Tenant Isolation & Audit Foundation"
Admin,Online Admin Users,/admin/security/online-users,GET /api/v1/admin/security/online-users,LIST_TABLE,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations"
Admin,Portal Audit Log,/admin/audit,GET /api/v1/admin/audit,LIST_TABLE,"P02 — Identity, RBAC, Tenant Isolation & Audit Foundation"
Admin,VOS System Log,/admin/system/vos-log,GET /api/v1/admin/system/vos-log,LIST_TABLE,"P12 — Observability, Security Hardening, Backup & High Availability"
Admin,System Parameters,/admin/system/parameters,GET /api/v1/admin/system/parameters,SETTINGS,"P12 — Observability, Security Hardening, Backup & High Availability"
Admin,System Parameters,/admin/system/parameters,PATCH /api/v1/admin/system/parameters/{name},SETTINGS,"P12 — Observability, Security Hardening, Backup & High Availability"
Admin,System Information,/admin/system/info,GET /api/v1/admin/system/info,DETAIL,"P12 — Observability, Security Hardening, Backup & High Availability"
Admin,Data Maintenance,/admin/system/data-maintenance,GET /api/v1/admin/system/data-maintenance,DETAIL,"P12 — Observability, Security Hardening, Backup & High Availability"
Admin,Performance Monitor,/admin/system/performance,GET /api/v1/admin/system/performance,ANALYTICS_REPORT,"P12 — Observability, Security Hardening, Backup & High Availability"
Admin,Process Monitor,/admin/system/processes,GET /api/v1/admin/system/processes,ANALYTICS_REPORT,"P12 — Observability, Security Hardening, Backup & High Availability"
Admin,Server Monitor,/admin/system/servers,GET /api/v1/admin/system/servers,ANALYTICS_REPORT,"P12 — Observability, Security Hardening, Backup & High Availability"
Admin,Disaster Recovery,/admin/system/disaster-recovery,GET /api/v1/admin/system/disaster-recovery,DETAIL,"P12 — Observability, Security Hardening, Backup & High Availability"
Admin,Work Calendar,/admin/system/work-calendar,GET /api/v1/admin/system/work-calendar,SETTINGS,"P12 — Observability, Security Hardening, Backup & High Availability"
Admin,Portal API Clients,/admin/integrations/api-clients,GET /api/v1/admin/integrations/api-clients,LIST_TABLE,"P11 — Customer API, Webhooks, Reports & Large Exports"
Admin,Portal API Clients,/admin/integrations/api-clients,POST /api/v1/admin/integrations/api-clients,LIST_TABLE,"P11 — Customer API, Webhooks, Reports & Large Exports"
Admin,Webhook Endpoints,/admin/integrations/webhooks,GET /api/v1/admin/integrations/webhooks,LIST_TABLE,"P11 — Customer API, Webhooks, Reports & Large Exports"
Admin,Webhook Endpoints,/admin/integrations/webhooks,POST /api/v1/admin/integrations/webhooks,LIST_TABLE,"P11 — Customer API, Webhooks, Reports & Large Exports"
Admin,Webhook Delivery Log,/admin/integrations/webhook-deliveries,GET /api/v1/admin/integrations/webhook-deliveries,LIST_TABLE,"P11 — Customer API, Webhooks, Reports & Large Exports"
Admin,VOS Web Access Control,/admin/integrations/vos-access,GET /api/v1/admin/integrations/vos-access,DETAIL,"P12 — Observability, Security Hardening, Backup & High Availability"
Admin,VOS Web Service Equipment,/admin/integrations/vos-equipment,GET /api/v1/admin/integrations/vos-equipment,DETAIL,"P12 — Observability, Security Hardening, Backup & High Availability"
Admin,Integration Health,/admin/integrations/health,GET /api/v1/admin/integrations/health,LIVE_MONITOR,"P12 — Observability, Security Hardening, Backup & High Availability"
Admin,Support Tickets,/admin/support/tickets,GET /api/v1/admin/support/tickets,LIST_TABLE,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations"
Admin,Notification Policies,/admin/notifications/policies,GET /api/v1/admin/notification-policies,DETAIL,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations"
Admin,Notification Log,/admin/notifications/log,GET /api/v1/admin/notifications/log,LIST_TABLE,"P06 — Admin Portal Core — Customers, CDR, Gateways, Operations"
Admin,Payment Providers,/admin/settings/payments,GET /api/v1/admin/settings/payments,DETAIL,"P08 — Billing, Add-Funds, Immutable Ledger & VOS Reconciliation"
Admin,Payment Providers,/admin/settings/payments,PUT /api/v1/admin/settings/payments/{provider},DETAIL,"P08 — Billing, Add-Funds, Immutable Ledger & VOS Reconciliation"
Admin,Portal Branding,/admin/settings/branding,GET /api/v1/admin/settings/branding,SETTINGS,"P12 — Observability, Security Hardening, Backup & High Availability"
Admin,Feature Flags,/admin/settings/features,GET /api/v1/admin/settings/features,SETTINGS,"P12 — Observability, Security Hardening, Backup & High Availability"
Client,Client Login,/app/login,POST /api/v1/auth/login,AUTH,"P02 — Identity, RBAC, Tenant Isolation & Audit Foundation"
Client,MFA Setup & Verify,/app/settings/security/mfa,POST /api/v1/me/mfa,AUTH,"P02 — Identity, RBAC, Tenant Isolation & Audit Foundation"
Client,Sessions & Devices,/app/settings/security/sessions,GET /api/v1/me/sessions,DETAIL,"P02 — Identity, RBAC, Tenant Isolation & Audit Foundation"
Client,Sessions & Devices,/app/settings/security/sessions,DELETE /api/v1/me/sessions/{id},DETAIL,"P02 — Identity, RBAC, Tenant Isolation & Audit Foundation"
Client,Profile & Organization,/app/settings/profile,GET /api/v1/me/profile,DETAIL,"P12 — Observability, Security Hardening, Backup & High Availability"
Client,Profile & Organization,/app/settings/profile,PATCH /api/v1/me/profile,DETAIL,"P12 — Observability, Security Hardening, Backup & High Availability"
Client,Client Dashboard,/app,GET /api/v1/dashboard/summary,DASHBOARD,"P07 — Customer Self-Service Core — Dashboard, CDR, Gateways & Rates"
Client,Client Dashboard,/app,GET /api/v1/dashboard/timeseries,DASHBOARD,"P07 — Customer Self-Service Core — Dashboard, CDR, Gateways & Rates"
Client,Service Status,/app/status,GET /api/v1/status,DETAIL,"P09 — Realtime Calls, Gateway Presence & NOC Streaming"
Client,Balance & Wallet,/app/billing/balance,GET /api/v1/balance,DETAIL,"P08 — Billing, Add-Funds, Immutable Ledger & VOS Reconciliation"
Client,Add Funds,/app/billing/add-funds,POST /api/v1/deposits,FINANCE_ACTION,"P08 — Billing, Add-Funds, Immutable Ledger & VOS Reconciliation"
Client,Add Funds,/app/billing/add-funds,GET /api/v1/deposits/{id},FINANCE_ACTION,"P08 — Billing, Add-Funds, Immutable Ledger & VOS Reconciliation"
Client,Payment History,/app/billing/payments,GET /api/v1/payments,LIST_TABLE,"P08 — Billing, Add-Funds, Immutable Ledger & VOS Reconciliation"
Client,Payment Detail / Receipt,/app/billing/payments/{paymentId},GET /api/v1/payments/{id},DETAIL,"P08 — Billing, Add-Funds, Immutable Ledger & VOS Reconciliation"
Client,Statements & Billing Summary,/app/billing/statements,GET /api/v1/billing/statements,ANALYTICS_REPORT,"P08 — Billing, Add-Funds, Immutable Ledger & VOS Reconciliation"
Client,CDR Explorer,/app/cdr,GET /api/v1/cdr,LIST_TABLE,"P05 — ClickHouse CDR Store, Rollups, Query APIs & Analytics"
Client,CDR Explorer,/app/cdr,POST /api/v1/cdr/exports,LIST_TABLE,"P05 — ClickHouse CDR Store, Rollups, Query APIs & Analytics"
Client,CDR Detail,/app/cdr/{cdrId},GET /api/v1/cdr/{id},DETAIL,"P05 — ClickHouse CDR Store, Rollups, Query APIs & Analytics"
Client,Recent Calls,/app/cdr/recent,GET /api/v1/cdr/recent,DETAIL,"P05 — ClickHouse CDR Store, Rollups, Query APIs & Analytics"
Client,CDR Export Jobs,/app/cdr/exports,GET /api/v1/cdr/exports,LIST_TABLE,"P05 — ClickHouse CDR Store, Rollups, Query APIs & Analytics"
Client,Live Calls,/app/calls/live,GET /api/v1/calls/live,LIVE_MONITOR,"P09 — Realtime Calls, Gateway Presence & NOC Streaming"
Client,Live Calls,/app/calls/live,GET /api/v1/calls/live/stream,LIVE_MONITOR,"P09 — Realtime Calls, Gateway Presence & NOC Streaming"
Client,Traffic Analytics,/app/analytics/traffic,GET /api/v1/analytics/traffic,ANALYTICS_REPORT,"P05 — ClickHouse CDR Store, Rollups, Query APIs & Analytics"
Client,Failure Analytics,/app/analytics/failures,GET /api/v1/analytics/failures,ANALYTICS_REPORT,"P05 — ClickHouse CDR Store, Rollups, Query APIs & Analytics"
Client,Destination Analytics,/app/analytics/destinations,GET /api/v1/analytics/destinations,ANALYTICS_REPORT,"P05 — ClickHouse CDR Store, Rollups, Query APIs & Analytics"
Client,My Gateways,/app/gateways,GET /api/v1/gateways,LIST_TABLE,"P07 — Customer Self-Service Core — Dashboard, CDR, Gateways & Rates"
Client,Gateway Detail,/app/gateways/{gatewayId},GET /api/v1/gateways/{id},DETAIL,"P07 — Customer Self-Service Core — Dashboard, CDR, Gateways & Rates"
Client,Gateway IP Management,/app/gateways/{gatewayId}/ips,GET /api/v1/gateways/{id}/ips,EDITOR_FORM,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Client,Gateway IP Management,/app/gateways/{gatewayId}/ips,PUT /api/v1/gateways/{id}/ips,EDITOR_FORM,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Client,SIP Credentials,/app/gateways/{gatewayId}/credentials,GET /api/v1/gateways/{id}/credentials,EDITOR_FORM,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Client,SIP Credentials,/app/gateways/{gatewayId}/credentials,POST /api/v1/gateways/{id}/credentials/rotate,EDITOR_FORM,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Client,Gateway Network Quality,/app/gateways/{gatewayId}/network,GET /api/v1/gateways/{id}/network,DETAIL,"P07 — Customer Self-Service Core — Dashboard, CDR, Gateways & Rates"
Client,Gateway Call Statistics,/app/gateways/{gatewayId}/statistics,GET /api/v1/gateways/{id}/statistics,DETAIL,"P07 — Customer Self-Service Core — Dashboard, CDR, Gateways & Rates"
Client,My Rate Sheet,/app/rates,GET /api/v1/rates,DETAIL,"P07 — Customer Self-Service Core — Dashboard, CDR, Gateways & Rates"
Client,Rate Lookup,/app/rates/lookup,GET /api/v1/rates/lookup?number=...,DETAIL,"P07 — Customer Self-Service Core — Dashboard, CDR, Gateways & Rates"
Client,Rate Change History,/app/rates/history,GET /api/v1/rates/history,LIST_TABLE,"P10 — Gateway, Rate, Package & Routing Configuration Workflows"
Client,Reports Home,/app/reports,GET /api/v1/reports,LIST_TABLE,"P11 — Customer API, Webhooks, Reports & Large Exports"
Client,Usage Report,/app/reports/usage,GET /api/v1/reports/usage,ANALYTICS_REPORT,"P11 — Customer API, Webhooks, Reports & Large Exports"
Client,Gateway Report,/app/reports/gateways,GET /api/v1/reports/gateways,ANALYTICS_REPORT,"P07 — Customer Self-Service Core — Dashboard, CDR, Gateways & Rates"
Client,Scheduled Reports,/app/reports/schedules,GET /api/v1/report-schedules,LIST_TABLE,"P11 — Customer API, Webhooks, Reports & Large Exports"
Client,Scheduled Reports,/app/reports/schedules,POST /api/v1/report-schedules,LIST_TABLE,"P11 — Customer API, Webhooks, Reports & Large Exports"
Client,Downloads,/app/downloads,GET /api/v1/downloads,LIST_TABLE,"P11 — Customer API, Webhooks, Reports & Large Exports"
Client,Notification Center,/app/notifications,GET /api/v1/notifications,LIST_TABLE,"P11 — Customer API, Webhooks, Reports & Large Exports"
Client,Alert Preferences,/app/settings/notifications,GET /api/v1/me/notification-preferences,SETTINGS,"P11 — Customer API, Webhooks, Reports & Large Exports"
Client,Alert Preferences,/app/settings/notifications,PUT /api/v1/me/notification-preferences,SETTINGS,"P11 — Customer API, Webhooks, Reports & Large Exports"
